,Total Traffic,Roadway Name,From,To,From Lat,From Lon,To Lat,To Lon
0,2153,HUGUENOT AVE,WOODROW RD,STAFFORD AVE,40.5432265,-74.19728429999998,40.5425378,-74.19700920000002
1,6644,RICHMOND HILL ROAD,EDINBORO ROAD,FOREST HILL ROAD,40.5811932,-74.1530526,40.5806141,-74.15252690000001
2,7564,MORLEY AVENUE,DALTON  AVENUE,EBONY STREET,40.5754393,-74.12691079999998,40.575719799999995,-74.1260446
3,11599,OCEAN TERRACE,BUTTERWORTH AVENUE,COVERLY AVENUE,40.603703700000004,-74.1057907,40.6033573,-74.10474350000001
4,12945,LITTLE CLOVE RD,CAYUGA AVENUE,RENWICK AVENUE,40.610864299999996,-74.1004282,40.6111769,-74.1055983
5,13133,CLOVE RD,HOWARD AVENUE,LITTLE CLOVE ROAD,40.6124437,-74.0992938,40.6114204,-74.09862319999998
6,14602,HYLAN BOULEVARD,FINGERBOARD ROAD,RODERICK AVENUE,40.60147,-74.072462,40.6022245,-74.0735839
7,17319,86 STREET,7 AVENUE,14 AVENUE,40.6184722,-74.02121439999998,40.612735,-74.011712
8,17652,4 AVENUE,68 STREET,SENATOR STREET,40.635318,-74.023235,40.63611119999999,-74.02291290000001
9,18635,CROPSEY AVE ,BAY 22nd ST,BAY 23rd ST,40.6010201,-74.004363,40.600625,-74.00359449999998
10,18641,BATH AVE ,BAY 22nd ST,BAY 23rd ST,40.60226000000001,-74.003067,40.601865999999994,-74.002315
11,18653,BENSON AVE ,19th AVE,BAY 20th ST,40.60384699999999,-74.00263000000001,40.604259000000006,-74.00340899999998
12,18846,SHORE PKWY,BAY 46th ST,27th AVE,40.58715919999999,-73.99106979999998,40.5878012,-73.9914892
13,19202,86th ST ,W 11th ST,W 12th ST,40.5947705,-73.9819765,40.595417,-73.98306339999998
14,19244,KINGS HWY,W 11th ST,W 12th ST,40.6055885,-73.98404980000001,40.6057299,-73.9850137
15,19313,AVE U,W 10th ST,W 11th ST,40.5960832,-73.98127729999999,40.595985999999996,-73.9822198
16,19437,BAY RIDGE PKWY,11TH AVE,12TH AVE,40.622947499999995,-74.01185500000001,40.62160799999999,-74.0096391
17,19463,8 AVENUE,66 STREET,67 STREET,40.6320285,-74.01316429999999,40.63148169999999,-74.01373439999998
18,19566,65 STREET,10 AVENUE,11 AVENUE,40.629974,-74.008128,40.628644,-74.005926
19,19641,13 AVENUE,72 STREET,73 STREET,40.6220276,-74.00564849999998,40.621468,-74.00622709999998
20,19761,14 AVENUE,72 STREET,73 STREET,40.620689399999996,-74.00344129999998,40.6201427,-74.0040203
21,19805,60 STREET,11 AVENUE,12 AVENUE,40.6314949,-74.00295009999998,40.6301639,-74.00074190000001
22,19813,86th ST,19th AVE,20th AVE,40.605946,-74.00047719999998,40.6046104,-73.99827189999998
23,19991,18 AVENUE,72 STREET,73 STREET,40.61513100000001,-73.99422299999998,40.61456460000001,-73.99479529999999
24,20157,65 STREET,18 AVENUE,19 AVENUE,40.619131,-73.99018199999999,40.617852,-73.988066
25,20278,60 STREET,18 AVENUE,19 AVENUE,40.622021999999994,-73.987257,40.620712,-73.985087
26,20335,AVE P,W 10th ST,W 11th ST,40.6076639,-73.9834632,40.6075656,-73.98440169999998
27,20340,BAY PKWY,72nd ST,73rd ST,40.609891499999996,-73.9855594,40.6093338,-73.98613370000001
28,20561,7 AVENUE,65 STREET,66 STREET,40.633963200000004,-74.0147382,40.63353529999999,-74.0155872
29,21028,3 AVENUE,29 STREET,28 STREET,40.74257720000001,-73.98040959999999,40.7419747,-73.98086889999998
30,21033,3 AVENUE,28 STREET,29 STREET,40.7419747,-73.98086889999998,40.74257720000001,-73.98040959999999
31,21110,5 AVENUE,24 STREET,36 STREET,40.659669,-73.99516899999998,40.7497295,-73.98363859999999
32,21142,51 STREET,13 AVENUE,New Utrecht Avenue,40.633906,-73.9932783,40.63492479999999,-73.994962
33,21148,50 STREET,13 AVENUE,New Utrecht Avenue,40.6344706,-73.9927072,40.635762400000004,-73.99485059999998
34,21327,39 STREET,12 AVENUE,13 AVENUE,40.641952,-73.9884957,40.640610200000005,-73.9862871
35,21331,37 STREET,12 AVENUE,13 AVENUE,40.6430826,-73.98732340000001,40.6417429,-73.9851098
36,21399, FT HAMILTON PARKWAY , 36 STREET  , CHESTER AVENUE ,40.64456630000001,-73.98833739999998,40.6457691,-73.9852877
37,22023, COLUMBIA STREET , DE GRAW STREET , KANE STREET  ,40.685754100000004,-74.00234870000001,40.687765399999996,-74.0013788
38,22219, CLINTON STREET , SACKETT STREET , UNION STREET  ,40.683623499999996,-73.9975443,40.6829554,-73.997863
39,22227, HICKS STREET  , KANE STREET  , DE GRAW STREET ,40.687315399999996,-74.0000422,40.6853554,-74.0009927
40,22379, 3 STREET  , SMITH STREET  , HOYT STREET  ,40.678837,-73.99579399999999,40.677841,-73.993725
41,22409,COURT STREET,DE GRAW STREET,SACKETT STREET,40.683741,-73.995232,40.683058700000004,-73.995536
42,26001,AVE U,E 16th ST,E 17th ST,40.59893029999999,-73.95547579999999,40.5990365,-73.95451329999999
43,22806,3 AVENUE,BALTIC STREET,BUTLER STREET,40.68151599999999,-73.98329100000002,40.6808843,-73.98372359999998
44,22921,3 AVENUE,DEAN STREET,PACIFIC STREET,40.684051600000004,-73.9815715,40.684696,-73.98114389999998
45,22924, ATLANTIC AVENUE , 3 AVENUE  , 4 AVENUE  ,40.6853307,-73.9807141,40.6843687,-73.97828870000002
46,23057,BROADWAY  ,BEAVER STREET  ,MORRIS STREET  ,40.7050369,-74.01332159999998,40.7058927,-74.01328649999998
47,23061,TRINITY PL,EDGER ST,RECTOR PL,40.706912100000004,-74.0135528,40.7077686,-74.01294909999999
48,23207,LIBERTY STREET,BROADWAY,LIBERTY PLACE,40.7091503,-74.0105511,40.7087698,-74.00964929999998
49,23344,FULTON STREET,DUTCH STREET,NASSAU STREET,40.709869399999995,-74.00702540000002,40.710228799999996,-74.0077407
50,23396,CHURCH STREET , DUANE STREET  , READE STREET  ,40.716003,-74.00711770000001,40.7154342,-74.00754620000001
51,23407,BROADWAY,DUANE STREET,THOMAS STREET,40.7152403,-74.0054243,40.715750899999996,-74.00498780000001
52,23408, CHAMBERS STREET , BROADWAY  , CENTRE STREET  ,40.714163,-74.00629479999998,40.7131383,-74.0040745
53,23756,MADISON STREET,CATHERINE STREET,ST JAMES PLACE,40.712083299999996,-73.9969397,40.71177479999999,-73.99969999999998
54,23936, CATHERINE STREET , MONROE STREET  , CATHERINE SLIP  ,40.7113649,-73.99679189999998,40.7113649,-73.99679189999998
55,23942,MARKET STREET,CHERRY STREET,SOUTH STREET,40.710562700000004,-73.99412020000003,40.709508899999996,-73.9940261
56,24768,SURF AVE,JONES WALK,W 10th ST,40.575497799999994,-73.9787874,40.5754425,-73.97791099999998
57,24988,NEPTUNE AVE,SHEEPSHEAD BAY RD,W 12th ST,40.57971999999999,-73.97713309999999,40.5794348,-73.9796066
58,25654,CONEY ISLAND AVE,AVE S,AVE T,40.60301079999999,-73.9615456,40.6005864,-73.961362
59,26096,AVE Z,E 15th ST,E 16th ST,40.58796470000001,-73.9543439,40.5880664,-73.9534175
60,26932,CONEY ISLAND AVENUE,FOSTER AVENUE,NEWKIRK AVENUE,40.6322831,-73.9667692,40.63373139999999,-73.96718809999999
61,26962,AVE P,CONEY ISLAND AVE,E 12th ST,40.609978600000005,-73.96244990000001,40.610094000000004,-73.96136940000002
62,27017,AVENUE J,EAST 12 STREET,EAST 13 STREET,40.624883600000004,-73.96415019999998,40.6249641,-73.96324859999999
63,27106,KINGS HWY,E 15th ST,E 16th ST,40.60873730000001,-73.95827849999998,40.609117299999994,-73.95740040000001
64,27121,AVE N ,E 15th ST,E 16th ST,40.6156136,-73.95958399999998,40.615714399999995,-73.95864499999998
65,27139,AVE M ,E 15th ST,ELM AVE,40.618010999999996,-73.960042,40.618047499999996,-73.9596723
66,27344,OCEAN AVE,AVE R,AVE S,40.6063501,-73.9527377,40.6040255,-73.9523028
67,27462,BEDFORD AVE,AVE R,QUENTIN RD,40.606872100000004,-73.94795710000002,40.609333,-73.94842179999998
68,27567,NOSTRAND AVE,AVE P,QUENTIN RD,40.6126779,-73.94417209999999,40.6101847,-73.9437026
69,28015,CONEY ISLAND AVE,CATON AVE,CHURCH AVE,40.6482598,-73.9714142,40.6463875,-73.9708452
70,28069,CORTELYOU ROAD,EAST 11 STREET,EAST 12 STREET,40.6412679,-73.96393590000001,40.7285905,-73.9797262
71,49572, JAMAICA AVENUE , AUTUMN AVENUE , EUCLID AVENUE  ,40.69027759999999,-73.8717138,40.6886804,-73.8754612
72,28103,CHURCH AVE,E 13th ST,E 14th ST,40.7269987,-73.9746965,40.6420511,-73.9812283
73,28234,CATON AVE ,E 18th ST,ST PAUL'S PL,40.6513604,-73.9634599,40.65153129999999,-73.96303069999998
74,28262,OCEAN AVE,CATON AVE,CROOKE AVE,40.652173299999994,-73.9613973,40.6531822,-73.96160139999998
75,28288,OCEAN AVENUE,FARRAGUT ROAD,GLENWOOD ROAD,40.6352905,-73.95819999999998,40.632903000000006,-73.95776339999998
76,28370,FLATBUSH AVE ,CATON AVE ,CLARKSON AVE,40.6529283,-73.9593266,40.654850200000006,-73.9597047
77,28403,FARRAGUT ROAD,BEDFORD AVENUE,EAST 24 STREET,40.6358206,-73.9534225,40.635707200000006,-73.95439300000001
78,28612,ROGERS AVE,LENOX RD,LINDEN BLVD,40.65397859999999,-73.95282320000001,40.652482,-73.952659
79,28620,ROGERS AVE,CLARKSON AVE,LENOX RD,40.6552408,-73.9529627,40.65397859999999,-73.95282320000001
80,28637,FLATBUSH AVENUE,EAST 28 STREET,EAST 29 STREET,40.6349814,-73.94991019999998,40.6339431,-73.94884880000002
81,28732,NOSTRAND AVE,LENOX RD ,LINDEN BLVD,40.6541536,-73.94993290000001,40.652657399999995,-73.94977750000002
82,28845,CHURCH AVE,E 37th ST,BROOKLYN AVE,40.651104100000005,-73.94282319999998,40.6511159,-73.94381039999998
83,28855,LINDEN BLVD,BROOKLYN AVE,E 37th ST,40.652973100000004,-73.9439991,40.65303,-73.9430349
84,28923,5 AVENUE,DE GRAW STREET,DOUGLASS STREET,40.677681,-73.9795997,40.678312,-73.9791702
85,28934,6 AVENUE,ST JOHN'S PLACE,STERLING PLACE,40.6774254,-73.97660920000001,40.6780626,-73.9761776
86,28973,FLATBUSH AVENUE,4 AVENUE,ROCKWELL PLACE,40.6849166,-73.97806740000001,40.688093200000004,-73.9794683
87,28976, ASHLAND PLACE , 4 AVENUE  , LAFAYETTE AVENUE ,40.672933,-73.9861256,40.6868179,-73.97822339999998
88,28997,PROSPECT PARK WEST,2 STREET,3 STREET,40.66883060000001,-73.973329,40.6682162,-73.973828
89,29014,8 AVENUE,CARROLL STREET,GARFIELD PLACE,40.672222,-73.97381999999999,40.671172,-73.9747017
90,29030,7 AVENUE,LINCOLN PLACE,ST JOHN'S PLACE,40.675729,-73.97458979999998,40.6764516,-73.97410579999998
91,29470,CLASSON AVE,GATES AVE,PUTNAM AVE,40.6852182,-73.95926530000001,40.6830185,-73.95885279999999
92,29662,BEDFORD AVE,PROSPECT PL,ST MARK'S AVE,40.6745036,-73.9537084,40.675389200000005,-73.9533723
93,29668,ROGERS AVE,LINCOLN PL,ST JOHN'S PL,40.6708992,-73.9531942,40.6717833,-73.9531148
94,29696,BEDFORD AVE,HANCOCK ST,JEFFERSON AVE,40.68212159999999,-73.95366259999999,40.6828564,-73.95380999999998
95,29843,BROOKLYN AVE,ST JOHN'S PL,LINCOLN PL,40.6713431,-73.94479759999999,40.6704979,-73.944872
96,30633,LAFAYETTE AVE,CLASSON AVE,FRANKLIN AVE,40.6888847,-73.9600183,40.6892468,-73.95697129999998
97,30645,MYRTLE AVE,CLASSON AVE,TAAFFE AVE,40.694010999999996,-73.96109299999998,40.69411040000001,-73.96015600000001
98,30790,BEDFORD AVE,METROPOLITAN AVE,NORTH 1st ST,40.715311299999996,-73.9604365,40.7148883,-73.96088720000002
99,31072,MONTROSE AVE,UNION AVE,LORIME ST ,40.7066554,-73.95038829999999,40.706850200000005,-73.9482056
100,31148,METROPOLITAN AVE,UNION AVE,LORIMER ST,40.714075,-73.9516455,40.7140636,-73.9493933
101,31248,MESEROLE STREET,LEONARD  ST,LORIMER ST ,40.707754,-73.94659990000001,40.707593,-73.9483056
102,31308,MYRTLE AVE,THROOP AVE,TOMPKINS AVE,40.696031,-73.94352599999998,40.695706,-73.9463658
103,31559,WEST BROADWAY,DUANE STREET,THOMAS STREET,40.7166018,-74.0083762,40.7171283,-74.0079586
104,31890,HUDSON STREET,CHARLTON STREET,VANDAM STREET,40.7273316,-74.0073345,40.72660870000001,-74.0074515
105,32031,HUDSON STREET,GANSEVOORT STREET,HORATIO STREET,40.7394118,-74.0053906,40.7387624,-74.00549840000001
106,32066,CORTLANDT ALLEY,WALKER STREET,WHITE STREET,40.7183168,-74.00183969999998,40.71769279999999,-74.0023458
107,66455,56th RD,43rd ST,48th ST,40.7287902,-73.92614300000001,40.726213,-73.92051500000001
108,32095,CANAL STREET,BROADWAY,CORTLANDT ALLEY,40.719393,-74.00189870000001,40.71895689999999,-74.00128629999998
109,32126,AVENUE OF THE AMERICAS ,VANDAM STREET , SPRING STREET  ,40.7262643,-74.00376170000001,40.725527299999996,-74.00405769999998
110,32137,WEST BROADWAY,PRINCE STREET,SPRING STREET,40.7257812,-74.000907,40.7245656,-74.0019192
111,32274, 8 AVENUE  , HORATIO STREET , WEST 4 STREET  ,40.738756,-74.003446,40.7382921,-74.00397459999998
112,32327,GRAND STREET,BROADWAY,CROSBY STREET,40.7208716,-74.00063349999998,40.7204318,-73.9998628
113,32361,BROOME STREET,BROADWAY,CROSBY STREET,40.7217896,-73.99986690000001,40.721426799999996,-73.9990327
114,32364,BROADWAY,PRINCE STREET,SPRING STREET,40.7242289,-73.99779009999999,40.7230414,-73.99878609999998
115,32366,SPRING STREET,BROADWAY,CROSBY STREET,40.7230414,-73.99878609999998,40.7226532,-73.9979869
116,32443,7 AVENUE,WEST 12 STREET,WEST 13 STREET,40.737224499999996,-74.00068040000001,40.737869399999994,-74.00020190000001
117,32449,AVENUE OF AMERICAS,WEST 11 STREET,WEST 12 STREET,40.735378000000004,-73.9982757,40.7360172,-73.997813
118,32585,E 4TH ST,BROADWAY ,LAFAYETTE ST,40.7284285,-73.9942583,40.7278625,-73.9931345
119,32618,5 AVENUE,EAST 11 STREET,EAST 12 STREET,40.7340256,-73.9950724,40.7346736,-73.9945869
120,32698, BOWERY  , EAST HOUSTON STREET , PRINCE STREET  ,40.724041899999996,-73.99254309999998,40.722334100000005,-73.9931936
121,32706,CHRYSTIE STREET,2 AVENUE,DELANCEY STREET,40.7237544,-73.991033,40.7199205,-73.99291720000001
122,32775,4 AVENUE,EAST 9 STREET,EAST 10 STREET,40.730547200000004,-73.99049219999998,40.7312538,-73.9903946
123,32787,BROADWAY,EAST 11 STREET,EAST 12 STREET,40.73244589999999,-73.991281,40.733201,-73.99111740000001
124,32807,EAST 14 STREET,4 AVENUE,BROADWAY,40.73444779999999,-73.9899078,40.7348005,-73.99073259999999
125,32932,3 AVENUE,EAST 12 STREET,EAST 13 STREET,40.73197529999999,-73.9881577,40.7326097,-73.9876848
126,33012,5 AVENUE,BROADWAY,EAST 26 STREET,40.742313200000005,-73.98901769999998,40.743444000000004,-73.9882085
127,33064,CLINTON STREET,DELANCEY STREET,RIVINGTON STREET,40.717625399999996,-73.98582549999998,40.7190891,-73.9850731
128,33115,2 AVENUE,EAST 12 STREET,EAST 13 STREET,40.7310008,-73.98592070000001,40.7316589,-73.9854323
129,33121,1 AVENUE,EAST 12 STREET,EAST 13 STREET,40.7300043,-73.9835255,40.7306517,-73.98306020000001
130,33184,LEXINGTON AVENUE,EAST 26 STREET,EAST 27 STREET,40.7414154,-73.98336669999998,40.742018200000004,-73.98292219999998
131,33196,PITT STREET,DELANCEY STREET,STANTON STREET,40.716654600000005,-73.9832613,40.7194763,-73.981943
132,33255,AVENUE B,EAST 11 STREET,EAST 12 STREET,40.72745689999999,-73.97945530000001,40.728097700000006,-73.9789887
133,33305,3 AVENUE,EAST 27 STREET,EAST 28 STREET,40.7413335,-73.9813051,40.7419747,-73.98086889999998
134,33411,11 AVENUE,WEST 27 STREET,WEST 28 STREET,40.7514154,-74.0051723,40.752032299999996,-74.0047257
135,33471,10 AVENUE,WEST 27 STREET,WEST 28 STREET,40.7502166,-74.00233979999999,40.75083729999999,-74.00188519999998
136,33547,9 AVENUE,WEST 25 STREET,WEST 26 STREET,40.7477802,-74.00043409999998,40.7484192,-73.99999389999998
137,33612,11 AVENUE,WEST 43 STREET,WEST 44 STREET,40.7615124,-73.9978323,40.7621338,-73.99738850000001
138,33645,8 AVENUE,WEST 26 STREET,WEST 27 STREET,40.747204100000005,-73.9970975,40.7478166,-73.99665290000002
139,33652,7 AVENUE,WEST 27 STREET,WEST 28 STREET,40.74662319999999,-73.9938171,40.7472392,-73.9933645
140,33758,10 AVENUE,WEST 45 STREET,WEST 46 STREET,40.7615582,-73.99405820000001,40.7621935,-73.99361259999998
141,33796,AVENUE OF THE AMERICAS,WEST 26 STREET,WEST 27 STREET,40.7447955,-73.99142189999998,40.745418,-73.99096229999998
142,33848,9 AVENUE,WEST 45 STREET,WEST 46 STREET,40.760360600000006,-73.9912374,40.760983700000004,-73.9907751
143,33879,BROADWAY,WEST 27 STREET,WEST 28 STREET,40.7445271,-73.98887289999998,40.745296100000004,-73.98874029999999
144,33886,5 AVENUE,EAST 27 STREET,EAST 28 STREET,40.7440656,-73.98775400000002,40.7446868,-73.9873046
145,33891,WEST 29 STREET,5 AVENUE,BROADWAY,40.7452995,-73.98684109999998,40.7460445,-73.9885838
146,33959,8 AVENUE,WEST 45 STREET,WEST 46 STREET,40.7591625,-73.988378,40.759791,-73.987927
147,34000,MADISON AVENUE,EAST 27 STREET,EAST 28 STREET,40.7433809,-73.98615720000001,40.7440111,-73.98569169999998
148,34013,WEST 30 STREET,5 AVENUE,BROADWAY,40.7459153,-73.98641070000001,40.7467947,-73.98848890000001
149,34027,WEST 34 STREET,5 AVENUE,AVE OF THE AMER,40.748439399999995,-73.9845729,40.749781899999995,-73.98775340000002
150,34073,7 AVENUE,BROADWAY,WEST 46 STREET,40.7577845,-73.98568019999998,40.75858059999999,-73.9850687
151,34124,COLUMBUS AVENUE,WEST 61 STREET,WEST 62 STREET,40.77048,-73.98385499999998,40.7711301,-73.98340340000001
152,34170,WEST 39 STREET,5 AVENUE,AVE OF THE AMER,40.75158629999999,-73.9822815,40.7529301,-73.98548219999998
153,34188,AVENUE OF THE AMERICAS,WEST 45 STREET,WEST 46 STREET,40.7567653,-73.98270230000001,40.757393799999996,-73.98225029999998
154,34257,CENTRAL PARK WEST,WEST 61 STREET,COLUMBUS CIRCLE,40.7692978,-73.98104709999998,40.7682791,-73.9814387
155,34340,AMSTERDAM AVENUE,WEST 61 STREET,WEST 62 STREET,40.771671399999995,-73.98669720000001,40.7723021,-73.9862412
156,34512,AMSTERDAM AVENUE,WEST 73 STREET,WEST 74 STREET,40.7793005,-73.9811343,40.7799331,-73.980677
157,34607,AVENUE C,EAST 11 STREET,EAST 12 STREET,40.72647420000001,-73.9770989,40.7271073,-73.9766362
158,34654,1 AVENUE,EAST 26 STREET,EAST 27 STREET,40.7387856,-73.9771481,40.7393956,-73.97669520000001
159,34659,2 AVENUE,EAST 27 STREET,EAST 28 STREET,40.74042379999999,-73.9790846,40.741040000000005,-73.97865259999998
160,35041,COMMERCIAL ST,CLAY ST,BOX ST,40.7363695,-73.95832109999998,40.737159000000005,-73.95688310000001
161,35178,ASH ST,COMMERCIAL ST,MC GUINNESS,40.7380024,-73.95535890000001,40.7382029,-73.95294670000001
162,35252,BEDFORD AVE,LORIMER ST,NORTH 12th ST,40.723517799999996,-73.9516661,40.7205975,-73.9547554
163,35257,DRIGGS AVE,LORIMER ST,NORTH 12th ST,40.7217156,-73.9506335,40.7197924,-73.95347240000001
164,35672,GREENPOINT AVE,N. HENRY ST,PROVOST ST,40.7320844,-73.9445901,40.730672399999996,-73.9492191
165,35806, 5 AVENUE  , EAST 46 STREET  , EAST 47 STREET  ,40.7560369,-73.979021,40.7566626,-73.97855539999998
166,35960, 3 AVENUE  , EAST 46 STREET  , EAST 47 STREET  ,40.7533249,-73.9725945,40.7539542,-73.97214749999998
167,36023,5 AVENUE,WEST 59 STREET,WEST 60 STREET,40.76428320000001,-73.9730166,40.76492409999999,-73.9725552
168,36112, 2 AVENUE  , EAST 46 STREET  , EAST 47 STREET  ,40.752367,-73.97033540000001,40.7529921,-73.96987969999998
169,36162,MADISON AVENUE,EAST 59 STREET,EAST 60 STREET,40.7635936,-73.97142869999998,40.764224299999995,-73.97097140000001
170,36272, 3 AVENUE  , EAST 59 STREET  , EAST 60 STREET  ,40.7615833,-73.9665806,40.7621826,-73.9661193
171,36403, 1 AVENUE  , EAST 60 STREET  , EAST 61 STREET  ,40.7602427,-73.96151119999998,40.7608662,-73.9610606
172,36574, 3 AVENUE  , EAST 73 STREET  , EAST 74 STREET  ,40.770430700000006,-73.9601096,40.77106929999999,-73.95966039999998
173,36579, 2 AVENUE  , EAST 73 STREET  , EAST 74 STREET  ,40.769501899999995,-73.957898,40.77012,-73.9574092
174,36674, 1 AVENUE  , EAST 73 STREET  , EAST 74 STREET  ,40.7684948,-73.9555015,40.7691234,-73.95504559999998
175,36803,YORK AVENUE,EAST 74 STREET,EAST 75 STREET,40.7681765,-73.95279409999998,40.7688161,-73.95232469999998
176,37189,CENTRAL PARK WEST,WEST 74 STREET,WEST 75 STREET,40.7775456,-73.9750068,40.7781814,-73.9745414
177,37277,WEST END AVENUE,WEST 97 STREET,WEST 98 STREET,40.7959402,-73.9727125,40.796575,-73.9722692
178,37362,AMSTERDAM AVE,WEST 99 ST  , WEST 100 ST ,40.795988,-73.96895599999998,40.796617299999994,-73.9684943
179,37374, 5 AVENUE  , EAST 73 STREET  , EAST 74 STREET  ,40.7731481,-73.96654040000001,40.7737839,-73.966075
180,37916,3 AVE  , EAST 99 ST  , EAST 100 ST  ,40.787136600000004,-73.94792009999999,40.7877698,-73.9474512
181,38035, 1 AVE  , EAST 99 ST  , EAST 97 ST  ,40.7851691,-73.9433181,40.7839524,-73.9442217
182,38055, 2 AVE  , EAST 99 ST  , EAST 100 ST  ,40.7862118,-73.94574519999998,40.7868424,-73.94527719999998
183,38361,AMSTERDAM AVE , WEST 118 ST , WEST 119 ST,40.80812,-73.96010600000001,40.8087566,-73.9596542
184,38489,MANHATTAN AVENUE,WEST 119 STREET,WEST 120 STREET,40.806965999999996,-73.955411,40.8076104,-73.954949
185,38619, 8 AVE  , WEST 123 ST , WEST 124 ST ,40.8088725,-73.9521231,40.809490000000004,-73.95166400000001
186,38868,WEST 135 STREET,8 AVENUE,EDGECOMBE AVENUE,40.81651919999999,-73.94654320000001,40.81708450000001,-73.94791649999998
